danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|type|id|uri|track_href|analysis_url|duration_ms|time_signature|artist_name|song_name|num_top|popularity
0.472|0.471|10|-5.692|1|0.0603|0.151|0.0|0.14|0.219|105.029|audio_features|6tNQ70jh4OwmPGpYy6R2o9|spotify:track:6tNQ70jh4OwmPGpYy6R2o9|https://api.spotify.com/v1/tracks/6tNQ70jh4OwmPGpYy6R2o9|https://api.spotify.com/v1/audio-analysis/6tNQ70jh4OwmPGpYy6R2o9|180304|3|Benson Boone|Beautiful Things|1|100
0.594|0.811|1|-5.746|1|0.159|0.189|0.0|0.339|0.311|148.144|audio_features|3w0w2T288dec0mgeZZqoNN|spotify:track:3w0w2T288dec0mgeZZqoNN|https://api.spotify.com/v1/tracks/3w0w2T288dec0mgeZZqoNN|https://api.spotify.com/v1/audio-analysis/3w0w2T288dec0mgeZZqoNN|264324|4|¥$|CARNIVAL|2|96
0.689|0.454|2|-7.643|1|0.0584|0.0351|0.00259|0.0707|0.912|159.982|audio_features|3qhlB30KknSejmIvZZLjOD|spotify:track:3qhlB30KknSejmIvZZLjOD|https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD|https://api.spotify.com/v1/audio-analysis/3qhlB30KknSejmIvZZLjOD|159246|4|Djo|End of Beginning|3|94
0.75|0.733|6|-3.18|0|0.0319|0.256|0.0|0.114|0.844|111.018|audio_features|3rUGC1vUpkDG9CZFHMur1t|spotify:track:3rUGC1vUpkDG9CZFHMur1t|https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t|https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t|131872|1|Tate McRae|greedy|4|98
0.561|0.604|9|-4.409|1|0.0337|0.199|1.9e-05|0.104|0.242|159.92|audio_features|17phhZDn6oGtzMe56NuWvj|spotify:track:17phhZDn6oGtzMe56NuWvj|https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj|https://api.spotify.com/v1/audio-analysis/17phhZDn6oGtzMe56NuWvj|210689|3|Teddy Swims|Lose Control|5|94
0.552|0.702|9|-5.707|1|0.157|0.117|2.06e-05|0.105|0.564|169.994|audio_features|1BxfuPKGuaTgP7aM0Bbdwr|spotify:track:1BxfuPKGuaTgP7aM0Bbdwr|https://api.spotify.com/v1/tracks/1BxfuPKGuaTgP7aM0Bbdwr|https://api.spotify.com/v1/audio-analysis/1BxfuPKGuaTgP7aM0Bbdwr|178427|4|Taylor Swift|Cruel Summer|6|98
0.582|0.82|7|-4.186|0|0.0738|0.0376|0.0|0.24|0.338|91.999|audio_features|3L1ZQFGXdEIwQaFZR5Xkyf|spotify:track:3L1ZQFGXdEIwQaFZR5Xkyf|https://api.spotify.com/v1/tracks/3L1ZQFGXdEIwQaFZR5Xkyf|https://api.spotify.com/v1/audio-analysis/3L1ZQFGXdEIwQaFZR5Xkyf|146885|4|Damian Barran|Afraid of Love|7|37
0.725|0.709|2|-6.514|1|0.072|0.588|0.0|0.135|0.353|110.024|audio_features|7AYmToZ5y67fBjq4RLFbuq|spotify:track:7AYmToZ5y67fBjq4RLFbuq|https://api.spotify.com/v1/tracks/7AYmToZ5y67fBjq4RLFbuq|https://api.spotify.com/v1/audio-analysis/7AYmToZ5y67fBjq4RLFbuq|235636|4|Beyoncé|TEXAS HOLD 'EM|8|87
0.531|0.652|8|-6.249|1|0.0325|0.0524|1.39e-06|0.162|0.179|87.521|audio_features|1VNWdmXSbaNrnWod10WIL0|spotify:track:1VNWdmXSbaNrnWod10WIL0|https://api.spotify.com/v1/tracks/1VNWdmXSbaNrnWod10WIL0|https://api.spotify.com/v1/audio-analysis/1VNWdmXSbaNrnWod10WIL0|244685|4|The Weeknd|One Of The Girls (with JENNIE, Lily Rose Depp)|9|86
0.546|0.828|11|-4.29|0|0.0598|0.14|1.39e-05|0.225|0.722|93.036|audio_features|1hKbnXEH8nAJlVpG9mtadI|spotify:track:1hKbnXEH8nAJlVpG9mtadI|https://api.spotify.com/v1/tracks/1hKbnXEH8nAJlVpG9mtadI|https://api.spotify.com/v1/audio-analysis/1hKbnXEH8nAJlVpG9mtadI|200320|4|Stuck in the Sound|Adios|10|47
0.504|0.308|9|-14.958|1|0.0321|0.868|0.135|0.158|0.121|113.95|audio_features|3vkCueOmm7xQDoJ17W1Pm3|spotify:track:3vkCueOmm7xQDoJ17W1Pm3|https://api.spotify.com/v1/tracks/3vkCueOmm7xQDoJ17W1Pm3|https://api.spotify.com/v1/audio-analysis/3vkCueOmm7xQDoJ17W1Pm3|137773|4|Mitski|My Love Mine All Mine|11|97
