danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|type|id|uri|track_href|analysis_url|duration_ms|time_signature|artist_name|song_name|num_top|popularity
0.849|0.699|1|-5.106|0|0.0436|0.0982|0.000215|0.068|0.927|138.003|audio_features|7fzHQizxTqy8wTXwlrgPQQ|spotify:track:7fzHQizxTqy8wTXwlrgPQQ|https://api.spotify.com/v1/tracks/7fzHQizxTqy8wTXwlrgPQQ|https://api.spotify.com/v1/audio-analysis/7fzHQizxTqy8wTXwlrgPQQ|155152|4|Tommy Richman|MILLION DOLLAR BABY|1|94
0.898|0.472|1|-7.001|1|0.0776|0.0107|0.0|0.141|0.214|101.061|audio_features|6AI3ezQ4o3HUoP6Dhudph3|spotify:track:6AI3ezQ4o3HUoP6Dhudph3|https://api.spotify.com/v1/tracks/6AI3ezQ4o3HUoP6Dhudph3|https://api.spotify.com/v1/audio-analysis/6AI3ezQ4o3HUoP6Dhudph3|274192|4|Kendrick Lamar|Not Like Us|2|94
0.701|0.76|0|-5.478|1|0.0285|0.107|6.54e-05|0.185|0.69|103.969|audio_features|2qSkIjg1o9h3YT9RAgYN75|spotify:track:2qSkIjg1o9h3YT9RAgYN75|https://api.spotify.com/v1/tracks/2qSkIjg1o9h3YT9RAgYN75|https://api.spotify.com/v1/audio-analysis/2qSkIjg1o9h3YT9RAgYN75|175459|4|Sabrina Carpenter|Espresso|3|99
0.638|0.855|7|-4.86|1|0.0264|0.00757|0.0|0.245|0.731|127.986|audio_features|7221xIgOnuakPdLqT0F3nP|spotify:track:7221xIgOnuakPdLqT0F3nP|https://api.spotify.com/v1/tracks/7221xIgOnuakPdLqT0F3nP|https://api.spotify.com/v1/audio-analysis/7221xIgOnuakPdLqT0F3nP|178206|4|Post Malone|I Had Some Help (Feat. Morgan Wallen)|4|86
0.599|0.946|11|-4.263|1|0.0447|0.000938|0.0106|0.0826|0.747|151.647|audio_features|2GxrNKugF82CnoRFbQfzPf|spotify:track:2GxrNKugF82CnoRFbQfzPf|https://api.spotify.com/v1/tracks/2GxrNKugF82CnoRFbQfzPf|https://api.spotify.com/v1/audio-analysis/2GxrNKugF82CnoRFbQfzPf|142515|4|Artemas|i like the way you kiss me|5|100
0.75|0.83|10|-5.281|0|0.0363|0.25|0.0|0.142|0.72|122.042|audio_features|4t7otY7g0QGObpbJvxwtec|spotify:track:4t7otY7g0QGObpbJvxwtec|https://api.spotify.com/v1/tracks/4t7otY7g0QGObpbJvxwtec|https://api.spotify.com/v1/audio-analysis/4t7otY7g0QGObpbJvxwtec|177257|4|Senhit|Colombia|6|46
0.504|0.386|11|-10.976|1|0.0308|0.502|1.53e-05|0.0961|0.281|192.004|audio_features|2OzhQlSqBEmt7hmkYxfT6m|spotify:track:2OzhQlSqBEmt7hmkYxfT6m|https://api.spotify.com/v1/tracks/2OzhQlSqBEmt7hmkYxfT6m|https://api.spotify.com/v1/audio-analysis/2OzhQlSqBEmt7hmkYxfT6m|228965|4|Taylor Swift|Fortnight (feat. Post Malone)|7|96
0.791|0.499|8|-8.472|0|0.0509|0.446|2.41e-05|0.0899|0.669|99.986|audio_features|6XjDF6nds4DE2BBbagZol6|spotify:track:6XjDF6nds4DE2BBbagZol6|https://api.spotify.com/v1/tracks/6XjDF6nds4DE2BBbagZol6|https://api.spotify.com/v1/audio-analysis/6XjDF6nds4DE2BBbagZol6|222000|4|FloyyMenor|Gata Only|8|98
0.722|0.709|9|-4.95|1|0.0273|0.0633|0.0|0.0804|0.604|81.012|audio_features|2FQrifJ1N335Ljm3TjTVVf|spotify:track:2FQrifJ1N335Ljm3TjTVVf|https://api.spotify.com/v1/tracks/2FQrifJ1N335Ljm3TjTVVf|https://api.spotify.com/v1/audio-analysis/2FQrifJ1N335Ljm3TjTVVf|171292|4|Shaboozey|A Bar Song (Tipsy)|9|94
0.626|0.779|0|-3.227|0|0.0485|0.367|0.0|0.666|0.717|87.893|audio_features|4XHSb2aZ5cEIy8yRmz0GkF|spotify:track:4XHSb2aZ5cEIy8yRmz0GkF|https://api.spotify.com/v1/tracks/4XHSb2aZ5cEIy8yRmz0GkF|https://api.spotify.com/v1/audio-analysis/4XHSb2aZ5cEIy8yRmz0GkF|135682|4|Olivia Addams|Feelings Back|10|48
