danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|type|id|uri|track_href|analysis_url|duration_ms|time_signature|artist_name|song_name|num_top|popularity
0.701|0.76|0|-5.478|1|0.0285|0.107|6.54e-05|0.185|0.69|103.969|audio_features|2qSkIjg1o9h3YT9RAgYN75|spotify:track:2qSkIjg1o9h3YT9RAgYN75|https://api.spotify.com/v1/tracks/2qSkIjg1o9h3YT9RAgYN75|https://api.spotify.com/v1/audio-analysis/2qSkIjg1o9h3YT9RAgYN75|175459|4|Sabrina Carpenter|Espresso|1|98
0.599|0.946|11|-4.263|1|0.0447|0.000938|0.0106|0.0826|0.747|151.647|audio_features|2GxrNKugF82CnoRFbQfzPf|spotify:track:2GxrNKugF82CnoRFbQfzPf|https://api.spotify.com/v1/tracks/2GxrNKugF82CnoRFbQfzPf|https://api.spotify.com/v1/audio-analysis/2GxrNKugF82CnoRFbQfzPf|142515|4|Artemas|i like the way you kiss me|2|100
0.831|0.643|1|-5.002|1|0.11|0.046|0.0|0.084|0.142|139.948|audio_features|77DRzu7ERs0TX3roZcre7Q|spotify:track:77DRzu7ERs0TX3roZcre7Q|https://api.spotify.com/v1/tracks/77DRzu7ERs0TX3roZcre7Q|https://api.spotify.com/v1/audio-analysis/77DRzu7ERs0TX3roZcre7Q|383639|4|Kendrick Lamar|euphoria|3|92
0.504|0.386|11|-10.976|1|0.0308|0.502|1.53e-05|0.0961|0.281|192.004|audio_features|2OzhQlSqBEmt7hmkYxfT6m|spotify:track:2OzhQlSqBEmt7hmkYxfT6m|https://api.spotify.com/v1/tracks/2OzhQlSqBEmt7hmkYxfT6m|https://api.spotify.com/v1/audio-analysis/2OzhQlSqBEmt7hmkYxfT6m|228965|4|Taylor Swift|Fortnight (feat. Post Malone)|4|95
0.791|0.499|8|-8.472|0|0.0509|0.446|2.41e-05|0.0899|0.669|99.986|audio_features|6XjDF6nds4DE2BBbagZol6|spotify:track:6XjDF6nds4DE2BBbagZol6|https://api.spotify.com/v1/tracks/6XjDF6nds4DE2BBbagZol6|https://api.spotify.com/v1/audio-analysis/6XjDF6nds4DE2BBbagZol6|222000|4|FloyyMenor|Gata Only|5|98
0.472|0.471|10|-5.692|1|0.0603|0.151|0.0|0.14|0.219|105.029|audio_features|3xkHsmpQCBMytMJNiDf3Ii|spotify:track:3xkHsmpQCBMytMJNiDf3Ii|https://api.spotify.com/v1/tracks/3xkHsmpQCBMytMJNiDf3Ii|https://api.spotify.com/v1/audio-analysis/3xkHsmpQCBMytMJNiDf3Ii|180304|3|Benson Boone|Beautiful Things|6|90
0.75|0.83|10|-5.281|0|0.0363|0.25|0.0|0.142|0.72|122.042|audio_features|4t7otY7g0QGObpbJvxwtec|spotify:track:4t7otY7g0QGObpbJvxwtec|https://api.spotify.com/v1/tracks/4t7otY7g0QGObpbJvxwtec|https://api.spotify.com/v1/audio-analysis/4t7otY7g0QGObpbJvxwtec|177257|4|Senhit|Colombia|7|43
0.741|0.62|10|-5.505|1|0.0412|0.0295|0.000809|0.0398|0.934|117.038|audio_features|5Z0UnEtpLDQyYlWwgi8m9C|spotify:track:5Z0UnEtpLDQyYlWwgi8m9C|https://api.spotify.com/v1/tracks/5Z0UnEtpLDQyYlWwgi8m9C|https://api.spotify.com/v1/audio-analysis/5Z0UnEtpLDQyYlWwgi8m9C|251424|4|Hozier|Too Sweet|8|90
0.849|0.699|1|-5.106|0|0.0436|0.0982|0.000215|0.068|0.927|138.003|audio_features|7fzHQizxTqy8wTXwlrgPQQ|spotify:track:7fzHQizxTqy8wTXwlrgPQQ|https://api.spotify.com/v1/tracks/7fzHQizxTqy8wTXwlrgPQQ|https://api.spotify.com/v1/audio-analysis/7fzHQizxTqy8wTXwlrgPQQ|155152|4|Tommy Richman|MILLION DOLLAR BABY|9|90
0.626|0.779|0|-3.227|0|0.0485|0.367|0.0|0.666|0.717|87.893|audio_features|4XHSb2aZ5cEIy8yRmz0GkF|spotify:track:4XHSb2aZ5cEIy8yRmz0GkF|https://api.spotify.com/v1/tracks/4XHSb2aZ5cEIy8yRmz0GkF|https://api.spotify.com/v1/audio-analysis/4XHSb2aZ5cEIy8yRmz0GkF|135682|4|Olivia Addams|Feelings Back|10|48
0.722|0.709|9|-4.95|1|0.0273|0.0633|0.0|0.0804|0.604|81.012|audio_features|2FQrifJ1N335Ljm3TjTVVf|spotify:track:2FQrifJ1N335Ljm3TjTVVf|https://api.spotify.com/v1/tracks/2FQrifJ1N335Ljm3TjTVVf|https://api.spotify.com/v1/audio-analysis/2FQrifJ1N335Ljm3TjTVVf|171292|4|Shaboozey|A Bar Song (Tipsy)|11|93
0.645|0.646|5|-8.334|1|0.0427|0.0615|3.04e-05|0.074|0.295|115.842|audio_features|51ZQ1vr10ffzbwIjDCwqm4|spotify:track:51ZQ1vr10ffzbwIjDCwqm4|https://api.spotify.com/v1/tracks/51ZQ1vr10ffzbwIjDCwqm4|https://api.spotify.com/v1/audio-analysis/51ZQ1vr10ffzbwIjDCwqm4|228639|4|Ariana Grande|we can't be friends (wait for your love)|12|94
0.689|0.454|2|-7.643|1|0.0584|0.0351|0.00259|0.0707|0.912|159.982|audio_features|3qhlB30KknSejmIvZZLjOD|spotify:track:3qhlB30KknSejmIvZZLjOD|https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD|https://api.spotify.com/v1/audio-analysis/3qhlB30KknSejmIvZZLjOD|159246|4|Djo|End of Beginning|13|98
0.652|0.662|4|-5.965|0|0.0354|0.0109|5.09e-05|0.121|0.58|110.079|audio_features|3iPYtqRfKKjNiSY63qR1ix|spotify:track:3iPYtqRfKKjNiSY63qR1ix|https://api.spotify.com/v1/tracks/3iPYtqRfKKjNiSY63qR1ix|https://api.spotify.com/v1/audio-analysis/3iPYtqRfKKjNiSY63qR1ix|203225|4|Kalu|Chasing Those Traces|14|45
0.701|0.751|0|-8.39|1|0.0502|0.123|0.0|0.15|0.22|129.994|audio_features|4q5YezDOIPcoLr8R81x9qy|spotify:track:4q5YezDOIPcoLr8R81x9qy|https://api.spotify.com/v1/tracks/4q5YezDOIPcoLr8R81x9qy|https://api.spotify.com/v1/audio-analysis/4q5YezDOIPcoLr8R81x9qy|218005|4|Taylor Swift|I Can Do It With a Broken Heart|15|89
0.527|0.492|1|-9.774|1|0.279|0.0047|0.0|0.306|0.234|164.005|audio_features|1wFFFzJ5EsKbBWZriAcubN|spotify:track:1wFFFzJ5EsKbBWZriAcubN|https://api.spotify.com/v1/tracks/1wFFFzJ5EsKbBWZriAcubN|https://api.spotify.com/v1/audio-analysis/1wFFFzJ5EsKbBWZriAcubN|456934|4|Drake|Family Matters|16|84
0.48|0.501|9|-7.37|1|0.373|0.285|3.27e-05|0.433|0.211|179.984|audio_features|49yuhGPAPXJBNDRQYrIFxx|spotify:track:49yuhGPAPXJBNDRQYrIFxx|https://api.spotify.com/v1/tracks/49yuhGPAPXJBNDRQYrIFxx|https://api.spotify.com/v1/audio-analysis/49yuhGPAPXJBNDRQYrIFxx|89983|4|A!MS|OUD|17|53
0.725|0.709|3|-5.017|0|0.129|0.321|0.000189|0.114|0.648|99.993|audio_features|5bi0gh89wRuH2OgjdAKFsb|spotify:track:5bi0gh89wRuH2OgjdAKFsb|https://api.spotify.com/v1/tracks/5bi0gh89wRuH2OgjdAKFsb|https://api.spotify.com/v1/audio-analysis/5bi0gh89wRuH2OgjdAKFsb|193039|4|Rvssian|Santa|18|91
0.561|0.604|9|-4.409|1|0.0337|0.199|1.9e-05|0.104|0.242|159.92|audio_features|17phhZDn6oGtzMe56NuWvj|spotify:track:17phhZDn6oGtzMe56NuWvj|https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj|https://api.spotify.com/v1/audio-analysis/17phhZDn6oGtzMe56NuWvj|210689|3|Teddy Swims|Lose Control|19|93
