danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|type|id|uri|track_href|analysis_url|duration_ms|time_signature|artist_name|song_name|num_top|popularity
0.701|0.76|0|-5.478|1|0.0285|0.107|6.54e-05|0.185|0.69|103.969|audio_features|2qSkIjg1o9h3YT9RAgYN75|spotify:track:2qSkIjg1o9h3YT9RAgYN75|https://api.spotify.com/v1/tracks/2qSkIjg1o9h3YT9RAgYN75|https://api.spotify.com/v1/audio-analysis/2qSkIjg1o9h3YT9RAgYN75|175459|4|Sabrina Carpenter|Espresso|1|94
0.849|0.699|1|-5.106|0|0.0436|0.0982|0.000215|0.068|0.927|138.003|audio_features|7fzHQizxTqy8wTXwlrgPQQ|spotify:track:7fzHQizxTqy8wTXwlrgPQQ|https://api.spotify.com/v1/tracks/7fzHQizxTqy8wTXwlrgPQQ|https://api.spotify.com/v1/audio-analysis/7fzHQizxTqy8wTXwlrgPQQ|155152|4|Tommy Richman|MILLION DOLLAR BABY|2|91
0.936|0.887|9|-2.76|0|0.0683|0.0292|1.88e-06|0.0582|0.889|127.003|audio_features|2HYFX63wP3otVIvopRS99Z|spotify:track:2HYFX63wP3otVIvopRS99Z|https://api.spotify.com/v1/tracks/2HYFX63wP3otVIvopRS99Z|https://api.spotify.com/v1/audio-analysis/2HYFX63wP3otVIvopRS99Z|227239|4|Eminem|Houdini|3|88
0.747|0.507|2|-10.171|1|0.0358|0.2|0.0608|0.117|0.438|104.978|audio_features|6dOtVTDdiauQNBQEDOtlAB|spotify:track:6dOtVTDdiauQNBQEDOtlAB|https://api.spotify.com/v1/tracks/6dOtVTDdiauQNBQEDOtlAB|https://api.spotify.com/v1/audio-analysis/6dOtVTDdiauQNBQEDOtlAB|210373|4|Billie Eilish|BIRDS OF A FEATHER|4|92
0.791|0.499|8|-8.472|0|0.0509|0.446|2.41e-05|0.0899|0.669|99.986|audio_features|6XjDF6nds4DE2BBbagZol6|spotify:track:6XjDF6nds4DE2BBbagZol6|https://api.spotify.com/v1/tracks/6XjDF6nds4DE2BBbagZol6|https://api.spotify.com/v1/audio-analysis/6XjDF6nds4DE2BBbagZol6|222000|4|FloyyMenor|Gata Only|5|92
0.75|0.83|10|-5.281|0|0.0363|0.25|0.0|0.142|0.72|122.042|audio_features|4t7otY7g0QGObpbJvxwtec|spotify:track:4t7otY7g0QGObpbJvxwtec|https://api.spotify.com/v1/tracks/4t7otY7g0QGObpbJvxwtec|https://api.spotify.com/v1/audio-analysis/4t7otY7g0QGObpbJvxwtec|177257|4|Senhit|Colombia|6|46
0.893|0.4|11|-7.981|0|0.0643|0.0452|0.0823|0.0632|0.945|124.987|audio_features|629DixmZGHc7ILtEntuiWE|spotify:track:629DixmZGHc7ILtEntuiWE|https://api.spotify.com/v1/tracks/629DixmZGHc7ILtEntuiWE|https://api.spotify.com/v1/audio-analysis/629DixmZGHc7ILtEntuiWE|179587|4|Billie Eilish|LUNCH|7|91
0.898|0.472|1|-7.001|1|0.0776|0.0107|0.0|0.141|0.214|101.061|audio_features|6AI3ezQ4o3HUoP6Dhudph3|spotify:track:6AI3ezQ4o3HUoP6Dhudph3|https://api.spotify.com/v1/tracks/6AI3ezQ4o3HUoP6Dhudph3|https://api.spotify.com/v1/audio-analysis/6AI3ezQ4o3HUoP6Dhudph3|274192|4|Kendrick Lamar|Not Like Us|8|92
0.7|0.318|2|-15.867|1|0.0411|0.314|0.000758|0.134|0.0692|108.01|audio_features|4NnoV6mk5OnRzp2ELTXp9n|spotify:track:4NnoV6mk5OnRzp2ELTXp9n|https://api.spotify.com/v1/tracks/4NnoV6mk5OnRzp2ELTXp9n|https://api.spotify.com/v1/audio-analysis/4NnoV6mk5OnRzp2ELTXp9n|182222|4|Rogé|City Lights|9|34
0.638|0.855|7|-4.86|1|0.0264|0.00757|0.0|0.245|0.731|127.986|audio_features|7221xIgOnuakPdLqT0F3nP|spotify:track:7221xIgOnuakPdLqT0F3nP|https://api.spotify.com/v1/tracks/7221xIgOnuakPdLqT0F3nP|https://api.spotify.com/v1/audio-analysis/7221xIgOnuakPdLqT0F3nP|178206|4|Post Malone|I Had Some Help (Feat. Morgan Wallen)|10|91
