danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|type|id|uri|track_href|analysis_url|duration_ms|time_signature|artist_name|song_name|num_top|popularity
0.66|0.756|0|-3.743|0|0.032|0.00289|0.0|0.193|0.838|116.034|audio_features|7tI8dRuH2Yc6RuoTjxo4dU|spotify:track:7tI8dRuH2Yc6RuoTjxo4dU|https://api.spotify.com/v1/tracks/7tI8dRuH2Yc6RuoTjxo4dU|https://api.spotify.com/v1/audio-analysis/7tI8dRuH2Yc6RuoTjxo4dU|170888|4|Jimin|Who|1|93
0.747|0.507|2|-10.171|1|0.0358|0.2|0.0608|0.117|0.438|104.978|audio_features|6dOtVTDdiauQNBQEDOtlAB|spotify:track:6dOtVTDdiauQNBQEDOtlAB|https://api.spotify.com/v1/tracks/6dOtVTDdiauQNBQEDOtlAB|https://api.spotify.com/v1/audio-analysis/6dOtVTDdiauQNBQEDOtlAB|210373|4|Billie Eilish|BIRDS OF A FEATHER|2|99
0.701|0.76|0|-5.478|1|0.0285|0.107|6.54e-05|0.185|0.69|103.969|audio_features|2qSkIjg1o9h3YT9RAgYN75|spotify:track:2qSkIjg1o9h3YT9RAgYN75|https://api.spotify.com/v1/tracks/2qSkIjg1o9h3YT9RAgYN75|https://api.spotify.com/v1/audio-analysis/2qSkIjg1o9h3YT9RAgYN75|175459|4|Sabrina Carpenter|Espresso|3|99
0.669|0.586|9|-6.073|1|0.054|0.274|0.0|0.104|0.579|107.071|audio_features|5N3hjp1WNayUPZrA8kJmJP|spotify:track:5N3hjp1WNayUPZrA8kJmJP|https://api.spotify.com/v1/tracks/5N3hjp1WNayUPZrA8kJmJP|https://api.spotify.com/v1/audio-analysis/5N3hjp1WNayUPZrA8kJmJP|186365|4|Sabrina Carpenter|Please Please Please|4|98
0.7|0.582|11|-5.96|0|0.0356|0.0502|0.0|0.0881|0.785|116.712|audio_features|0WbMK4wrZ1wFSty9F7FCgu|spotify:track:0WbMK4wrZ1wFSty9F7FCgu|https://api.spotify.com/v1/tracks/0WbMK4wrZ1wFSty9F7FCgu|https://api.spotify.com/v1/audio-analysis/0WbMK4wrZ1wFSty9F7FCgu|218424|4|Chappell Roan|Good Luck, Babe!|5|96
0.924|0.668|11|-6.795|1|0.0469|0.446|0.000594|0.0678|0.787|128.027|audio_features|6WatFBLVB0x077xWeoVc2k|spotify:track:6WatFBLVB0x077xWeoVc2k|https://api.spotify.com/v1/tracks/6WatFBLVB0x077xWeoVc2k|https://api.spotify.com/v1/audio-analysis/6WatFBLVB0x077xWeoVc2k|195824|4|KAROL G|Si Antes Te Hubiera Conocido|6|95
0.759|0.61|5|-6.661|0|0.0515|0.0279|0.000493|0.0935|0.723|120.01|audio_features|5M0msrRuOX8SBquG7iWDt4|spotify:track:5M0msrRuOX8SBquG7iWDt4|https://api.spotify.com/v1/tracks/5M0msrRuOX8SBquG7iWDt4|https://api.spotify.com/v1/audio-analysis/5M0msrRuOX8SBquG7iWDt4|177245|4|Kalu|Feelz|7|40
0.898|0.472|1|-7.001|1|0.0776|0.0107|0.0|0.141|0.214|101.061|audio_features|6AI3ezQ4o3HUoP6Dhudph3|spotify:track:6AI3ezQ4o3HUoP6Dhudph3|https://api.spotify.com/v1/tracks/6AI3ezQ4o3HUoP6Dhudph3|https://api.spotify.com/v1/audio-analysis/6AI3ezQ4o3HUoP6Dhudph3|274192|4|Kendrick Lamar|Not Like Us|8|97
0.791|0.499|8|-8.472|0|0.0509|0.446|2.41e-05|0.0899|0.669|99.986|audio_features|6XjDF6nds4DE2BBbagZol6|spotify:track:6XjDF6nds4DE2BBbagZol6|https://api.spotify.com/v1/tracks/6XjDF6nds4DE2BBbagZol6|https://api.spotify.com/v1/audio-analysis/6XjDF6nds4DE2BBbagZol6|222000|4|FloyyMenor|Gata Only|9|96
0.731|0.881|9|-6.84|1|0.0612|0.0949|0.119|0.293|0.295|135.974|audio_features|2pv1AjkcLN2rntVacf3cQz|spotify:track:2pv1AjkcLN2rntVacf3cQz|https://api.spotify.com/v1/tracks/2pv1AjkcLN2rntVacf3cQz|https://api.spotify.com/v1/audio-analysis/2pv1AjkcLN2rntVacf3cQz|137647|4|VAMERO|Psych|10|42
