danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|type|id|uri|track_href|analysis_url|duration_ms|time_signature|artist_name|song_name|num_top|popularity
0.645|0.663|5|-8.305|1|0.0447|0.0657|3.18e-05|0.0751|0.287|115.83|audio_features|51ZQ1vr10ffzbwIjDCwqm4|spotify:track:51ZQ1vr10ffzbwIjDCwqm4|https://api.spotify.com/v1/tracks/51ZQ1vr10ffzbwIjDCwqm4|https://api.spotify.com/v1/audio-analysis/51ZQ1vr10ffzbwIjDCwqm4|228639|4|Ariana Grande|we can't be friends (wait for your love)|1|94
0.472|0.471|10|-5.692|1|0.0603|0.151|0.0|0.14|0.219|105.029|audio_features|6tNQ70jh4OwmPGpYy6R2o9|spotify:track:6tNQ70jh4OwmPGpYy6R2o9|https://api.spotify.com/v1/tracks/6tNQ70jh4OwmPGpYy6R2o9|https://api.spotify.com/v1/audio-analysis/6tNQ70jh4OwmPGpYy6R2o9|180304|3|Benson Boone|Beautiful Things|2|100
0.689|0.454|2|-7.643|1|0.0584|0.0351|0.00259|0.0707|0.912|159.982|audio_features|3qhlB30KknSejmIvZZLjOD|spotify:track:3qhlB30KknSejmIvZZLjOD|https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD|https://api.spotify.com/v1/audio-analysis/3qhlB30KknSejmIvZZLjOD|159246|4|Djo|End of Beginning|3|98
0.594|0.811|1|-5.746|1|0.159|0.189|0.0|0.339|0.311|148.144|audio_features|3w0w2T288dec0mgeZZqoNN|spotify:track:3w0w2T288dec0mgeZZqoNN|https://api.spotify.com/v1/tracks/3w0w2T288dec0mgeZZqoNN|https://api.spotify.com/v1/audio-analysis/3w0w2T288dec0mgeZZqoNN|264324|4|¥$|CARNIVAL|4|97
0.75|0.733|6|-3.18|0|0.0319|0.256|0.0|0.114|0.844|111.018|audio_features|3rUGC1vUpkDG9CZFHMur1t|spotify:track:3rUGC1vUpkDG9CZFHMur1t|https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t|https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t|131872|1|Tate McRae|greedy|5|97
0.561|0.604|9|-4.409|1|0.0337|0.199|1.9e-05|0.104|0.242|159.92|audio_features|17phhZDn6oGtzMe56NuWvj|spotify:track:17phhZDn6oGtzMe56NuWvj|https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj|https://api.spotify.com/v1/audio-analysis/17phhZDn6oGtzMe56NuWvj|210689|3|Teddy Swims|Lose Control|6|93
0.72|0.882|0|-6.075|1|0.0658|0.236|0.000472|0.103|0.634|126.019|audio_features|4K1Llg9jSzc4duXIJBQt5A|spotify:track:4K1Llg9jSzc4duXIJBQt5A|https://api.spotify.com/v1/tracks/4K1Llg9jSzc4duXIJBQt5A|https://api.spotify.com/v1/audio-analysis/4K1Llg9jSzc4duXIJBQt5A|152396|4|GOM3Z|Circles|7|44
0.552|0.702|9|-5.707|1|0.157|0.117|2.06e-05|0.105|0.564|169.994|audio_features|1BxfuPKGuaTgP7aM0Bbdwr|spotify:track:1BxfuPKGuaTgP7aM0Bbdwr|https://api.spotify.com/v1/tracks/1BxfuPKGuaTgP7aM0Bbdwr|https://api.spotify.com/v1/audio-analysis/1BxfuPKGuaTgP7aM0Bbdwr|178427|4|Taylor Swift|Cruel Summer|8|97
0.725|0.709|2|-6.514|1|0.072|0.588|0.0|0.135|0.353|110.024|audio_features|7AYmToZ5y67fBjq4RLFbuq|spotify:track:7AYmToZ5y67fBjq4RLFbuq|https://api.spotify.com/v1/tracks/7AYmToZ5y67fBjq4RLFbuq|https://api.spotify.com/v1/audio-analysis/7AYmToZ5y67fBjq4RLFbuq|235636|4|Beyoncé|TEXAS HOLD 'EM|9|86
0.785|0.766|1|-6.551|1|0.0503|0.194|7.57e-05|0.107|0.804|119.029|audio_features|5D34wRmbFS29AjtTOP2QJe|spotify:track:5D34wRmbFS29AjtTOP2QJe|https://api.spotify.com/v1/tracks/5D34wRmbFS29AjtTOP2QJe|https://api.spotify.com/v1/audio-analysis/5D34wRmbFS29AjtTOP2QJe|214994|4|Ariana Grande|yes, and?|10|86
0.677|0.729|5|-5.11|0|0.0424|0.08|0.00105|0.128|0.198|128.002|audio_features|0Ws4k0JVG2PnPBClYwAWzG|spotify:track:0Ws4k0JVG2PnPBClYwAWzG|https://api.spotify.com/v1/tracks/0Ws4k0JVG2PnPBClYwAWzG|https://api.spotify.com/v1/audio-analysis/0Ws4k0JVG2PnPBClYwAWzG|180000|4|DJ SODA|Okay! - Kivrak Remix|11|43
0.791|0.499|8|-8.472|0|0.0509|0.446|2.41e-05|0.0899|0.669|99.986|audio_features|6XjDF6nds4DE2BBbagZol6|spotify:track:6XjDF6nds4DE2BBbagZol6|https://api.spotify.com/v1/tracks/6XjDF6nds4DE2BBbagZol6|https://api.spotify.com/v1/audio-analysis/6XjDF6nds4DE2BBbagZol6|222000|4|FloyyMenor|Gata Only|12|94
