danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|type|id|uri|track_href|analysis_url|duration_ms|time_signature|artist_name|song_name|num_top|popularity
0.75|0.733|6|-3.18|0|0.0319|0.256|0.0|0.114|0.844|111.018|audio_features|3rUGC1vUpkDG9CZFHMur1t|spotify:track:3rUGC1vUpkDG9CZFHMur1t|https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t|https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t|131872|1|Tate McRae|greedy|1|100
0.751|0.819|11|-4.372|0|0.0409|0.255|0.0|0.236|0.697|131.842|audio_features|0R6NfOiLzLj4O5VbYSJAjf|spotify:track:0R6NfOiLzLj4O5VbYSJAjf|https://api.spotify.com/v1/tracks/0R6NfOiLzLj4O5VbYSJAjf|https://api.spotify.com/v1/audio-analysis/0R6NfOiLzLj4O5VbYSJAjf|172264|3|Xavi|La Diabla|2|99
0.472|0.471|10|-5.692|1|0.0603|0.151|0.0|0.14|0.219|105.029|audio_features|6tNQ70jh4OwmPGpYy6R2o9|spotify:track:6tNQ70jh4OwmPGpYy6R2o9|https://api.spotify.com/v1/tracks/6tNQ70jh4OwmPGpYy6R2o9|https://api.spotify.com/v1/audio-analysis/6tNQ70jh4OwmPGpYy6R2o9|180304|3|Benson Boone|Beautiful Things|3|96
0.522|0.641|8|-6.287|1|0.0318|0.0545|0.0|0.162|0.202|87.51|audio_features|7CyPwkp0oE8Ro9Dd5CUDjW|spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW|https://api.spotify.com/v1/tracks/7CyPwkp0oE8Ro9Dd5CUDjW|https://api.spotify.com/v1/audio-analysis/7CyPwkp0oE8Ro9Dd5CUDjW|244685|4|The Weeknd|One Of The Girls (with JENNIE, Lily Rose Depp)|4|99
0.552|0.702|9|-5.707|1|0.157|0.117|2.06e-05|0.105|0.564|169.994|audio_features|1BxfuPKGuaTgP7aM0Bbdwr|spotify:track:1BxfuPKGuaTgP7aM0Bbdwr|https://api.spotify.com/v1/tracks/1BxfuPKGuaTgP7aM0Bbdwr|https://api.spotify.com/v1/audio-analysis/1BxfuPKGuaTgP7aM0Bbdwr|178427|4|Taylor Swift|Cruel Summer|5|99
0.504|0.308|9|-14.958|1|0.0321|0.868|0.135|0.158|0.121|113.95|audio_features|3vkCueOmm7xQDoJ17W1Pm3|spotify:track:3vkCueOmm7xQDoJ17W1Pm3|https://api.spotify.com/v1/tracks/3vkCueOmm7xQDoJ17W1Pm3|https://api.spotify.com/v1/audio-analysis/3vkCueOmm7xQDoJ17W1Pm3|137773|4|Mitski|My Love Mine All Mine|6|99
0.582|0.82|7|-4.186|0|0.0738|0.0376|0.0|0.24|0.338|91.999|audio_features|3L1ZQFGXdEIwQaFZR5Xkyf|spotify:track:3L1ZQFGXdEIwQaFZR5Xkyf|https://api.spotify.com/v1/tracks/3L1ZQFGXdEIwQaFZR5Xkyf|https://api.spotify.com/v1/audio-analysis/3L1ZQFGXdEIwQaFZR5Xkyf|146885|4|Damian Barran|Afraid of Love|7|38
0.624|0.74|2|-8.445|1|0.0481|0.00529|0.000224|0.5|0.246|172.089|audio_features|52eIcoLUM25zbQupAZYoFh|spotify:track:52eIcoLUM25zbQupAZYoFh|https://api.spotify.com/v1/tracks/52eIcoLUM25zbQupAZYoFh|https://api.spotify.com/v1/audio-analysis/52eIcoLUM25zbQupAZYoFh|270698|4|21 Savage|redrum|8|96
0.662|0.488|9|-6.894|1|0.0682|0.782|0.0|0.102|0.817|117.913|audio_features|0mflMxspEfB0VbI1kyLiAv|spotify:track:0mflMxspEfB0VbI1kyLiAv|https://api.spotify.com/v1/tracks/0mflMxspEfB0VbI1kyLiAv|https://api.spotify.com/v1/audio-analysis/0mflMxspEfB0VbI1kyLiAv|182347|4|Noah Kahan|Stick Season|9|98
0.774|0.86|7|-2.888|0|0.13|0.131|0.0|0.116|0.446|100.019|audio_features|7bywjHOc0wSjGGbj04XbVi|spotify:track:7bywjHOc0wSjGGbj04XbVi|https://api.spotify.com/v1/tracks/7bywjHOc0wSjGGbj04XbVi|https://api.spotify.com/v1/audio-analysis/7bywjHOc0wSjGGbj04XbVi|196800|4|Feid|LUNA|10|97
