danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|type|id|uri|track_href|analysis_url|duration_ms|time_signature|artist_name|song_name|num_top|popularity
0.747|0.507|2|-10.171|1|0.0358|0.2|0.0608|0.117|0.438|104.978|audio_features|6dOtVTDdiauQNBQEDOtlAB|spotify:track:6dOtVTDdiauQNBQEDOtlAB|https://api.spotify.com/v1/tracks/6dOtVTDdiauQNBQEDOtlAB|https://api.spotify.com/v1/audio-analysis/6dOtVTDdiauQNBQEDOtlAB|210373|4|Billie Eilish|BIRDS OF A FEATHER|1|100
0.66|0.756|0|-3.743|0|0.032|0.00289|0.0|0.193|0.838|116.034|audio_features|7tI8dRuH2Yc6RuoTjxo4dU|spotify:track:7tI8dRuH2Yc6RuoTjxo4dU|https://api.spotify.com/v1/tracks/7tI8dRuH2Yc6RuoTjxo4dU|https://api.spotify.com/v1/audio-analysis/7tI8dRuH2Yc6RuoTjxo4dU|170888|4|Jimin|Who|2|94
0.521|0.592|6|-7.777|0|0.0304|0.308|0.0|0.122|0.535|157.969|audio_features|2plbrEY59IikOBgBGLjaoe|spotify:track:2plbrEY59IikOBgBGLjaoe|https://api.spotify.com/v1/tracks/2plbrEY59IikOBgBGLjaoe|https://api.spotify.com/v1/audio-analysis/2plbrEY59IikOBgBGLjaoe|251668|3|Lady Gaga|Die With A Smile|3|95
0.701|0.76|0|-5.478|1|0.0285|0.107|6.54e-05|0.185|0.69|103.969|audio_features|2qSkIjg1o9h3YT9RAgYN75|spotify:track:2qSkIjg1o9h3YT9RAgYN75|https://api.spotify.com/v1/tracks/2qSkIjg1o9h3YT9RAgYN75|https://api.spotify.com/v1/audio-analysis/2qSkIjg1o9h3YT9RAgYN75|175459|4|Sabrina Carpenter|Espresso|4|98
0.669|0.586|9|-6.073|1|0.054|0.274|0.0|0.104|0.579|107.071|audio_features|5N3hjp1WNayUPZrA8kJmJP|spotify:track:5N3hjp1WNayUPZrA8kJmJP|https://api.spotify.com/v1/tracks/5N3hjp1WNayUPZrA8kJmJP|https://api.spotify.com/v1/audio-analysis/5N3hjp1WNayUPZrA8kJmJP|186365|4|Sabrina Carpenter|Please Please Please|5|97
0.669|0.761|6|-6.936|1|0.0314|0.00554|0.0326|0.197|0.357|125.996|audio_features|3iLTQEyj15Q561Ow6QnkhP|spotify:track:3iLTQEyj15Q561Ow6QnkhP|https://api.spotify.com/v1/tracks/3iLTQEyj15Q561Ow6QnkhP|https://api.spotify.com/v1/audio-analysis/3iLTQEyj15Q561Ow6QnkhP|158095|4|The Archer|Run|6|40
0.7|0.582|11|-5.96|0|0.0356|0.0502|0.0|0.0881|0.785|116.712|audio_features|0WbMK4wrZ1wFSty9F7FCgu|spotify:track:0WbMK4wrZ1wFSty9F7FCgu|https://api.spotify.com/v1/tracks/0WbMK4wrZ1wFSty9F7FCgu|https://api.spotify.com/v1/audio-analysis/0WbMK4wrZ1wFSty9F7FCgu|218424|4|Chappell Roan|Good Luck, Babe!|7|97
0.924|0.668|11|-6.795|1|0.0469|0.446|0.000594|0.0678|0.787|128.027|audio_features|6WatFBLVB0x077xWeoVc2k|spotify:track:6WatFBLVB0x077xWeoVc2k|https://api.spotify.com/v1/tracks/6WatFBLVB0x077xWeoVc2k|https://api.spotify.com/v1/audio-analysis/6WatFBLVB0x077xWeoVc2k|195824|4|KAROL G|Si Antes Te Hubiera Conocido|8|96
0.464|0.745|4|-3.202|0|0.161|0.0235|0.0|0.363|0.262|180.098|audio_features|0OA00aPt3BV10qeMIs3meW|spotify:track:0OA00aPt3BV10qeMIs3meW|https://api.spotify.com/v1/tracks/0OA00aPt3BV10qeMIs3meW|https://api.spotify.com/v1/audio-analysis/0OA00aPt3BV10qeMIs3meW|190667|4|Hanumankind|Big Dawgs|9|93
0.926|0.661|11|-8.504|0|0.184|0.0542|0.102|0.0781|0.674|125.039|audio_features|3f7z8wcJVZgycYW3USO4f8|spotify:track:3f7z8wcJVZgycYW3USO4f8|https://api.spotify.com/v1/tracks/3f7z8wcJVZgycYW3USO4f8|https://api.spotify.com/v1/audio-analysis/3f7z8wcJVZgycYW3USO4f8|186240|4|Cheshire|Pacman|10|40
0.644|0.874|0|-4.723|1|0.0265|0.0113|0.0|0.227|0.753|128.017|audio_features|5IZXB5IKAD2qlvTPJYDCFB|spotify:track:5IZXB5IKAD2qlvTPJYDCFB|https://api.spotify.com/v1/tracks/5IZXB5IKAD2qlvTPJYDCFB|https://api.spotify.com/v1/audio-analysis/5IZXB5IKAD2qlvTPJYDCFB|178206|4|Post Malone|I Had Some Help (Feat. Morgan Wallen)|11|83
0.472|0.471|10|-5.692|1|0.0603|0.151|0.0|0.14|0.219|105.029|audio_features|3xkHsmpQCBMytMJNiDf3Ii|spotify:track:3xkHsmpQCBMytMJNiDf3Ii|https://api.spotify.com/v1/tracks/3xkHsmpQCBMytMJNiDf3Ii|https://api.spotify.com/v1/audio-analysis/3xkHsmpQCBMytMJNiDf3Ii|180304|3|Benson Boone|Beautiful Things|12|91
0.593|0.707|11|-6.277|1|0.0478|0.0615|0.0|0.232|0.468|155.097|audio_features|1g7dUCBruuaHNVh6cyqz35|spotify:track:1g7dUCBruuaHNVh6cyqz35|https://api.spotify.com/v1/tracks/1g7dUCBruuaHNVh6cyqz35|https://api.spotify.com/v1/audio-analysis/1g7dUCBruuaHNVh6cyqz35|178428|4|CADE|Sinking|13|43
0.776|0.667|7|-6.622|1|0.0983|0.0146|0.3|0.0761|0.618|130.019|audio_features|3WOhcATHxK2SLNeP5W3v1v|spotify:track:3WOhcATHxK2SLNeP5W3v1v|https://api.spotify.com/v1/tracks/3WOhcATHxK2SLNeP5W3v1v|https://api.spotify.com/v1/audio-analysis/3WOhcATHxK2SLNeP5W3v1v|145219|4|Charli xcx|Guess featuring Billie Eilish|14|92
0.722|0.706|9|-4.857|1|0.0292|0.072|0.0|0.067|0.599|80.969|audio_features|5fZJQrFKWQLb7FpJXZ1g7K|spotify:track:5fZJQrFKWQLb7FpJXZ1g7K|https://api.spotify.com/v1/tracks/5fZJQrFKWQLb7FpJXZ1g7K|https://api.spotify.com/v1/audio-analysis/5fZJQrFKWQLb7FpJXZ1g7K|171292|4|Shaboozey|A Bar Song (Tipsy)|15|88
