danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|type|id|uri|track_href|analysis_url|duration_ms|time_signature|artist_name|song_name|num_top|popularity
0.669|0.586|9|-6.073|1|0.054|0.274|0.0|0.104|0.579|107.071|audio_features|5N3hjp1WNayUPZrA8kJmJP|spotify:track:5N3hjp1WNayUPZrA8kJmJP|https://api.spotify.com/v1/tracks/5N3hjp1WNayUPZrA8kJmJP|https://api.spotify.com/v1/audio-analysis/5N3hjp1WNayUPZrA8kJmJP|186365|4|Sabrina Carpenter|Please Please Please|1|94
0.701|0.76|0|-5.478|1|0.0285|0.107|6.54e-05|0.185|0.69|103.969|audio_features|2qSkIjg1o9h3YT9RAgYN75|spotify:track:2qSkIjg1o9h3YT9RAgYN75|https://api.spotify.com/v1/tracks/2qSkIjg1o9h3YT9RAgYN75|https://api.spotify.com/v1/audio-analysis/2qSkIjg1o9h3YT9RAgYN75|175459|4|Sabrina Carpenter|Espresso|2|96
0.747|0.507|2|-10.171|1|0.0358|0.2|0.0608|0.117|0.438|104.978|audio_features|6dOtVTDdiauQNBQEDOtlAB|spotify:track:6dOtVTDdiauQNBQEDOtlAB|https://api.spotify.com/v1/tracks/6dOtVTDdiauQNBQEDOtlAB|https://api.spotify.com/v1/audio-analysis/6dOtVTDdiauQNBQEDOtlAB|210373|4|Billie Eilish|BIRDS OF A FEATHER|3|95
0.852|0.697|1|-5.52|0|0.0439|0.0973|0.00037|0.0678|0.919|138.029|audio_features|5AJ9hqTS2wcFQCELCFRO7A|spotify:track:5AJ9hqTS2wcFQCELCFRO7A|https://api.spotify.com/v1/tracks/5AJ9hqTS2wcFQCELCFRO7A|https://api.spotify.com/v1/audio-analysis/5AJ9hqTS2wcFQCELCFRO7A|155152|4|Tommy Richman|MILLION DOLLAR BABY|4|89
0.898|0.472|1|-7.001|1|0.0776|0.0107|0.0|0.141|0.214|101.061|audio_features|6AI3ezQ4o3HUoP6Dhudph3|spotify:track:6AI3ezQ4o3HUoP6Dhudph3|https://api.spotify.com/v1/tracks/6AI3ezQ4o3HUoP6Dhudph3|https://api.spotify.com/v1/audio-analysis/6AI3ezQ4o3HUoP6Dhudph3|274192|4|Kendrick Lamar|Not Like Us|5|93
0.75|0.83|10|-5.281|0|0.0363|0.25|0.0|0.142|0.72|122.042|audio_features|4t7otY7g0QGObpbJvxwtec|spotify:track:4t7otY7g0QGObpbJvxwtec|https://api.spotify.com/v1/tracks/4t7otY7g0QGObpbJvxwtec|https://api.spotify.com/v1/audio-analysis/4t7otY7g0QGObpbJvxwtec|177257|4|Senhit|Colombia|6|47
0.791|0.499|8|-8.472|0|0.0509|0.446|2.41e-05|0.0899|0.669|99.986|audio_features|6XjDF6nds4DE2BBbagZol6|spotify:track:6XjDF6nds4DE2BBbagZol6|https://api.spotify.com/v1/tracks/6XjDF6nds4DE2BBbagZol6|https://api.spotify.com/v1/audio-analysis/6XjDF6nds4DE2BBbagZol6|222000|4|FloyyMenor|Gata Only|7|94
0.741|0.62|10|-5.505|1|0.0412|0.0295|0.000809|0.0398|0.934|117.038|audio_features|5Z0UnEtpLDQyYlWwgi8m9C|spotify:track:5Z0UnEtpLDQyYlWwgi8m9C|https://api.spotify.com/v1/tracks/5Z0UnEtpLDQyYlWwgi8m9C|https://api.spotify.com/v1/audio-analysis/5Z0UnEtpLDQyYlWwgi8m9C|251424|4|Hozier|Too Sweet|8|87
0.677|0.729|5|-5.11|0|0.0424|0.08|0.00105|0.128|0.198|128.002|audio_features|0Ws4k0JVG2PnPBClYwAWzG|spotify:track:0Ws4k0JVG2PnPBClYwAWzG|https://api.spotify.com/v1/tracks/0Ws4k0JVG2PnPBClYwAWzG|https://api.spotify.com/v1/audio-analysis/0Ws4k0JVG2PnPBClYwAWzG|180000|4|DJ SODA|Okay! - Kivrak Remix|9|42
0.722|0.706|9|-4.857|1|0.0292|0.072|0.0|0.067|0.599|80.969|audio_features|5fZJQrFKWQLb7FpJXZ1g7K|spotify:track:5fZJQrFKWQLb7FpJXZ1g7K|https://api.spotify.com/v1/tracks/5fZJQrFKWQLb7FpJXZ1g7K|https://api.spotify.com/v1/audio-analysis/5fZJQrFKWQLb7FpJXZ1g7K|171292|4|Shaboozey|A Bar Song (Tipsy)|10|81
0.638|0.855|7|-4.86|1|0.0264|0.00757|0.0|0.245|0.731|127.986|audio_features|7221xIgOnuakPdLqT0F3nP|spotify:track:7221xIgOnuakPdLqT0F3nP|https://api.spotify.com/v1/tracks/7221xIgOnuakPdLqT0F3nP|https://api.spotify.com/v1/audio-analysis/7221xIgOnuakPdLqT0F3nP|178206|4|Post Malone|I Had Some Help (Feat. Morgan Wallen)|11|93
0.472|0.471|10|-5.692|1|0.0603|0.151|0.0|0.14|0.219|105.029|audio_features|3xkHsmpQCBMytMJNiDf3Ii|spotify:track:3xkHsmpQCBMytMJNiDf3Ii|https://api.spotify.com/v1/tracks/3xkHsmpQCBMytMJNiDf3Ii|https://api.spotify.com/v1/audio-analysis/3xkHsmpQCBMytMJNiDf3Ii|180304|3|Benson Boone|Beautiful Things|12|88
0.763|0.829|4|-4.515|0|0.0548|0.00608|2.15e-05|0.154|0.493|127.928|audio_features|0NTrWViw23JWtREa4JTqIc|spotify:track:0NTrWViw23JWtREa4JTqIc|https://api.spotify.com/v1/tracks/0NTrWViw23JWtREa4JTqIc|https://api.spotify.com/v1/audio-analysis/0NTrWViw23JWtREa4JTqIc|179827|4|Shab|Sexual (Li Da Di)|13|39
0.7|0.582|11|-5.96|0|0.0356|0.0502|0.0|0.0881|0.785|116.712|audio_features|0WbMK4wrZ1wFSty9F7FCgu|spotify:track:0WbMK4wrZ1wFSty9F7FCgu|https://api.spotify.com/v1/tracks/0WbMK4wrZ1wFSty9F7FCgu|https://api.spotify.com/v1/audio-analysis/0WbMK4wrZ1wFSty9F7FCgu|218424|4|Chappell Roan|Good Luck, Babe!|14|89
0.936|0.887|9|-2.76|0|0.0683|0.0292|1.88e-06|0.0582|0.889|127.003|audio_features|2HYFX63wP3otVIvopRS99Z|spotify:track:2HYFX63wP3otVIvopRS99Z|https://api.spotify.com/v1/tracks/2HYFX63wP3otVIvopRS99Z|https://api.spotify.com/v1/audio-analysis/2HYFX63wP3otVIvopRS99Z|227239|4|Eminem|Houdini|15|92
0.914|0.731|4|-5.215|0|0.258|0.0839|1.07e-05|0.118|0.541|97.068|audio_features|1lbZNXnbOkiyjAQ4XEyl26|spotify:track:1lbZNXnbOkiyjAQ4XEyl26|https://api.spotify.com/v1/tracks/1lbZNXnbOkiyjAQ4XEyl26|https://api.spotify.com/v1/audio-analysis/1lbZNXnbOkiyjAQ4XEyl26|159890|4|NK|Moloko|16|38
0.599|0.946|11|-4.263|1|0.0447|0.000938|0.0106|0.0826|0.747|151.647|audio_features|2GxrNKugF82CnoRFbQfzPf|spotify:track:2GxrNKugF82CnoRFbQfzPf|https://api.spotify.com/v1/tracks/2GxrNKugF82CnoRFbQfzPf|https://api.spotify.com/v1/audio-analysis/2GxrNKugF82CnoRFbQfzPf|142515|4|Artemas|i like the way you kiss me|17|93
0.893|0.4|11|-7.981|0|0.0643|0.0452|0.0823|0.0632|0.945|124.987|audio_features|629DixmZGHc7ILtEntuiWE|spotify:track:629DixmZGHc7ILtEntuiWE|https://api.spotify.com/v1/tracks/629DixmZGHc7ILtEntuiWE|https://api.spotify.com/v1/audio-analysis/629DixmZGHc7ILtEntuiWE|179587|4|Billie Eilish|LUNCH|18|93
0.831|0.643|4|-4.659|0|0.0568|0.388|6.94e-05|0.374|0.57|97.013|audio_features|1pymWRCuZfCd0zdiBJo0Hj|spotify:track:1pymWRCuZfCd0zdiBJo0Hj|https://api.spotify.com/v1/tracks/1pymWRCuZfCd0zdiBJo0Hj|https://api.spotify.com/v1/audio-analysis/1pymWRCuZfCd0zdiBJo0Hj|145343|4|Trueno|REAL GANGSTA LOVE|19|86
0.561|0.604|9|-4.409|1|0.0337|0.199|1.9e-05|0.104|0.242|159.92|audio_features|17phhZDn6oGtzMe56NuWvj|spotify:track:17phhZDn6oGtzMe56NuWvj|https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj|https://api.spotify.com/v1/audio-analysis/17phhZDn6oGtzMe56NuWvj|210689|3|Teddy Swims|Lose Control|20|88
0.635|0.601|1|-6.129|0|0.0295|0.246|0.0|0.11|0.332|123.994|audio_features|3Vr3zh0r7ALn8VLqCiRR10|spotify:track:3Vr3zh0r7ALn8VLqCiRR10|https://api.spotify.com/v1/tracks/3Vr3zh0r7ALn8VLqCiRR10|https://api.spotify.com/v1/audio-analysis/3Vr3zh0r7ALn8VLqCiRR10|172533|4|Myles Smith|Stargazing|21|89
0.645|0.646|5|-8.334|1|0.0427|0.0615|3.04e-05|0.074|0.295|115.842|audio_features|51ZQ1vr10ffzbwIjDCwqm4|spotify:track:51ZQ1vr10ffzbwIjDCwqm4|https://api.spotify.com/v1/tracks/51ZQ1vr10ffzbwIjDCwqm4|https://api.spotify.com/v1/audio-analysis/51ZQ1vr10ffzbwIjDCwqm4|228639|4|Ariana Grande|we can't be friends (wait for your love)|22|88
0.689|0.454|2|-7.643|1|0.0584|0.0351|0.00259|0.0707|0.912|159.982|audio_features|3qhlB30KknSejmIvZZLjOD|spotify:track:3qhlB30KknSejmIvZZLjOD|https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD|https://api.spotify.com/v1/audio-analysis/3qhlB30KknSejmIvZZLjOD|159246|4|Djo|End of Beginning|23|91
0.504|0.386|11|-10.976|1|0.0308|0.502|1.53e-05|0.0961|0.281|192.004|audio_features|2OzhQlSqBEmt7hmkYxfT6m|spotify:track:2OzhQlSqBEmt7hmkYxfT6m|https://api.spotify.com/v1/tracks/2OzhQlSqBEmt7hmkYxfT6m|https://api.spotify.com/v1/audio-analysis/2OzhQlSqBEmt7hmkYxfT6m|228965|4|Taylor Swift|Fortnight (feat. Post Malone)|24|90
0.7|0.425|7|-12.531|1|0.0529|0.144|0.879|0.083|0.521|110.015|audio_features|7BRD7x5pt8Lqa1eGYC4dzj|spotify:track:7BRD7x5pt8Lqa1eGYC4dzj|https://api.spotify.com/v1/tracks/7BRD7x5pt8Lqa1eGYC4dzj|https://api.spotify.com/v1/audio-analysis/7BRD7x5pt8Lqa1eGYC4dzj|303440|4|Billie Eilish|CHIHIRO|25|91
