danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|type|id|uri|track_href|analysis_url|duration_ms|time_signature|artist_name|song_name|num_top|popularity
0.924|0.668|11|-6.795|1|0.0469|0.446|0.000594|0.0678|0.787|128.027|audio_features|6WatFBLVB0x077xWeoVc2k|spotify:track:6WatFBLVB0x077xWeoVc2k|https://api.spotify.com/v1/tracks/6WatFBLVB0x077xWeoVc2k|https://api.spotify.com/v1/audio-analysis/6WatFBLVB0x077xWeoVc2k|195824|4|KAROL G|Si Antes Te Hubiera Conocido|16|87
0.914|0.731|4|-5.215|0|0.258|0.0839|1.07e-05|0.118|0.541|97.068|audio_features|1lbZNXnbOkiyjAQ4XEyl26|spotify:track:1lbZNXnbOkiyjAQ4XEyl26|https://api.spotify.com/v1/tracks/1lbZNXnbOkiyjAQ4XEyl26|https://api.spotify.com/v1/audio-analysis/1lbZNXnbOkiyjAQ4XEyl26|159890|4|NK|Moloko|17|43
0.668|0.628|8|-4.692|1|0.046|0.129|0.0|0.0293|0.568|140.053|audio_features|6vvPecFTmWxDfEJ6cYT1wa|spotify:track:6vvPecFTmWxDfEJ6cYT1wa|https://api.spotify.com/v1/tracks/6vvPecFTmWxDfEJ6cYT1wa|https://api.spotify.com/v1/audio-analysis/6vvPecFTmWxDfEJ6cYT1wa|138213|4|LISA|Rockstar|18|85
0.599|0.946|11|-4.263|1|0.0447|0.000938|0.0106|0.0826|0.747|151.647|audio_features|2GxrNKugF82CnoRFbQfzPf|spotify:track:2GxrNKugF82CnoRFbQfzPf|https://api.spotify.com/v1/tracks/2GxrNKugF82CnoRFbQfzPf|https://api.spotify.com/v1/audio-analysis/2GxrNKugF82CnoRFbQfzPf|142515|4|Artemas|i like the way you kiss me|19|95
0.831|0.643|4|-4.659|0|0.0568|0.388|6.94e-05|0.374|0.57|97.013|audio_features|1pymWRCuZfCd0zdiBJo0Hj|spotify:track:1pymWRCuZfCd0zdiBJo0Hj|https://api.spotify.com/v1/tracks/1pymWRCuZfCd0zdiBJo0Hj|https://api.spotify.com/v1/audio-analysis/1pymWRCuZfCd0zdiBJo0Hj|145343|4|Trueno|REAL GANGSTA LOVE|20|91
0.936|0.887|9|-2.76|0|0.0683|0.0292|1.88e-06|0.0582|0.889|127.003|audio_features|2HYFX63wP3otVIvopRS99Z|spotify:track:2HYFX63wP3otVIvopRS99Z|https://api.spotify.com/v1/tracks/2HYFX63wP3otVIvopRS99Z|https://api.spotify.com/v1/audio-analysis/2HYFX63wP3otVIvopRS99Z|227239|4|Eminem|Houdini|21|94
0.893|0.4|11|-7.981|0|0.0643|0.0452|0.0823|0.0632|0.945|124.987|audio_features|629DixmZGHc7ILtEntuiWE|spotify:track:629DixmZGHc7ILtEntuiWE|https://api.spotify.com/v1/tracks/629DixmZGHc7ILtEntuiWE|https://api.spotify.com/v1/audio-analysis/629DixmZGHc7ILtEntuiWE|179587|4|Billie Eilish|LUNCH|22|95
0.561|0.604|9|-4.409|1|0.0337|0.199|1.9e-05|0.104|0.242|159.92|audio_features|17phhZDn6oGtzMe56NuWvj|spotify:track:17phhZDn6oGtzMe56NuWvj|https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj|https://api.spotify.com/v1/audio-analysis/17phhZDn6oGtzMe56NuWvj|210689|3|Teddy Swims|Lose Control|23|91
0.689|0.454|2|-7.643|1|0.0584|0.0351|0.00259|0.0707|0.912|159.982|audio_features|3qhlB30KknSejmIvZZLjOD|spotify:track:3qhlB30KknSejmIvZZLjOD|https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD|https://api.spotify.com/v1/audio-analysis/3qhlB30KknSejmIvZZLjOD|159246|4|Djo|End of Beginning|24|93
0.52|0.731|6|-5.338|0|0.0557|0.342|0.00101|0.311|0.662|173.93|audio_features|4Dvkj6JhhA12EX05fT7y2e|spotify:track:4Dvkj6JhhA12EX05fT7y2e|https://api.spotify.com/v1/tracks/4Dvkj6JhhA12EX05fT7y2e|https://api.spotify.com/v1/audio-analysis/4Dvkj6JhhA12EX05fT7y2e|167303|4|Harry Styles|As It Was|25|91
